no_laporan,periode_rekonsiliasi,tanggal_rekonsiliasi,no_transaksi_bank,tanggal_bayar,nama_pengirim,bank_pengirim,nominal_bayar,no_invoice,tanggal_invoice,nama_vendor_invoice,nominal_tagihan,selisih_nominal,keterangan_selisih,status_rekonsiliasi,kategori_rekonsiliasi,tingkat_keyakinan,catatan_akunting,nama_petugas_rekonsiliasi,status_persetujuan_manajer,nama_manajer_keuangan,tanggal_persetujuan
REK-2026-MAY-010,Mei 2026,2026-06-01,TRX-2026-0010,2026-05-20,PT Western Digital Indonesia,BCA,19993500,INV-WD-2026-018,2026-05-19,PT Western Digital Indonesia,20000000,-6500,Biaya transfer antar bank BCA Rp6.500,COCOK,SELISIH_BIAYA_ADMIN,0.94,"Nominal bayar Rp19.993.500 vs tagihan Rp20.000.000. Selisih Rp6.500 adalah biaya transfer antar bank BCA. Sesuai kebijakan perusahaan, selisih biaya admin ≤Rp10.000 dapat diterima dan dikategorikan sebagai beban administrasi bank. Keterangan transfer mencantumkan 'net biaya transfer'.",Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-011,Mei 2026,2026-06-01,TRX-2026-0011,2026-05-21,PT Samsung Electronics Indonesia,Mandiri,31993500,INV-SS-2026-019,2026-05-20,PT Samsung Electronics Indonesia,32000000,-6500,Biaya transfer antar bank Mandiri Rp6.500,COCOK,SELISIH_BIAYA_ADMIN,0.93,Nominal bayar Rp31.993.500 vs tagihan Rp32.000.000. Selisih Rp6.500 adalah biaya admin transfer Mandiri. Pola yang sama dengan TRX-2026-0010. Keterangan transfer menyebut 'less biaya admin'. Disetujui sesuai SOP.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-012,Mei 2026,2026-06-01,TRX-2026-0012,2026-05-17,PT HP Indonesia,BCA,7250000,INV-HP-2026-015,2026-05-15,PT HP Indonesia,7250000,0,Bayar H+2 dari tanggal invoice,COCOK,BEDA_TANGGAL_BAYAR,0.91,Tanggal bayar 2026-05-17 (H+2 dari invoice 2026-05-15). Nominal Rp7.250.000 cocok sempurna. Masih dalam toleransi 3 hari kerja sesuai SOP rekonsiliasi. Vendor HP memiliki beberapa transaksi Mei ini; cocok dikonfirmasi lewat referensi nomor invoice di keterangan transfer.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-013,Mei 2026,2026-06-01,TRX-2026-0013,2026-05-21,PT Epson Indonesia,BNI,4150000,INV-EPS-2026-020,2026-05-20,PT Epson Indonesia,4150000,0,Bayar H+1 dari tanggal invoice,COCOK,BEDA_TANGGAL_BAYAR,0.95,Tanggal bayar 2026-05-21 (H+1 dari invoice 2026-05-20). Nominal dan vendor cocok. Toleransi 1 hari sangat umum dalam transaksi B2B. Cocok dengan yakin.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-014,Mei 2026,2026-06-01,TRX-2026-0014,2026-05-22,PT Indo Elektronik Nusantara,BCA,5500000,-,-,-,0,5500000,Tidak ditemukan invoice pasangan,TIDAK_COCOK,TIDAK_ADA_INVOICE,0.0,Tidak ditemukan invoice untuk vendor 'PT Indo Elektronik Nusantara' pada periode Mei 2026. Keterangan 'DP Pesanan Juni 2026' mengindikasikan uang muka yang belum memiliki nomor invoice. Tindak lanjut: konfirmasi ke Tim Procurement dan minta vendor menerbitkan invoice proforma.,Dewi Rahmawati,PENDING,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-015,Mei 2026,2026-06-01,TRX-2026-0015,2026-05-22,PT Samsung Electronics Indonesia,Mandiri,2000000,-,-,-,0,2000000,Pembayaran masuk bukan dari invoice,TIDAK_COCOK,PEMBAYARAN_NON_INVOICE,0.0,"Penerimaan Rp2.000.000 dari PT Samsung merupakan refund atas kelebihan bayar April 2026, bukan pembayaran invoice. Catat sebagai kredit non-operasional. Perlu jurnal penyesuaian (debit kas, kredit hutang vendor Samsung). Tidak perlu pencocokan invoice.",Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-016,Mei 2026,2026-06-01,TRX-2026-0016,2026-05-23,PT Global Tech Solusi,BCA,15200000,-,-,-,0,15200000,Tidak ada invoice pasangan — nominal identik INV-CAN-2026-012 (sudah matched),TIDAK_COCOK,PERLU_INVESTIGASI,0.0,"PERHATIAN: Nominal Rp15.200.000 identik dengan INV-CAN-2026-012 (Canon, sudah dicocokkan ke TRX-2026-0005). Vendor 'PT Global Tech Solusi' TIDAK terdaftar dalam master vendor dan tidak memiliki invoice aktif. Sistem yang hanya mencocokkan berdasar nominal akan salah mengaitkan ini ke invoice Canon. Tindak lanjut: investigasi asal transfer, verifikasi ke bank, konfirmasi ke manajemen.",Dewi Rahmawati,ESKALASI_KE_MANAJEMEN,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-017,Mei 2026,2026-06-01,TRX-2026-0017,2026-05-24,PT HP Indonesia,BCA,8900000,-,-,-,0,8900000,Tidak ada invoice HP nominal ini — nominal identik INV-EPS-2026-010 (sudah matched),TIDAK_COCOK,PERLU_INVESTIGASI,0.0,"PERHATIAN: Nominal Rp8.900.000 identik dengan INV-EPS-2026-010 (Epson, sudah dicocokkan ke TRX-2026-0004). Tidak ada invoice HP dengan nominal ini di periode Mei 2026. HP memang vendor aktif (lihat TRX-2026-0002 & -0012), namun tidak ada tagihan HP sebesar Rp8.900.000 yang outstanding. Bukan split payment. Tindak lanjut: hubungi PT HP Indonesia untuk konfirmasi invoice yang dimaksud pengirim.",Dewi Rahmawati,ESKALASI_KE_MANAJEMEN,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-018,Mei 2026,2026-06-01,TRX-2026-0018,2026-05-25,PT Dell Indonesia,Mandiri,33600000,INV-DELL-2026-023,2026-05-24,PT Dell Indonesia,33600000,0,-,COCOK,MATCH_LANGSUNG,0.97,Pembayaran server Dell. Nominal dan vendor cocok. Nomor invoice tercantum di keterangan transfer.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-019,Mei 2026,2026-06-01,TRX-2026-0019,2026-05-26,CV Lenovo Solution Indonesia,BCA,11800000,INV-LEN-2026-024,2026-05-25,CV Lenovo Solutions Indonesia,11800000,0,Perbedaan ejaan minor: 'Solution' vs 'Solutions' (pola konsisten vendor ini),COCOK,MATCH_LANGSUNG,0.96,Nominal dan periode cocok. Perbedaan nama 'Solution' vs 'Solutions' adalah pola konsisten dari vendor ini (lihat juga REK-2026-MAY-006). Dikonfirmasi cocok.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-020,Mei 2026,2026-06-01,TRX-2026-0020,2026-05-27,PT Logitech Indonesia,BNI,6750000,INV-LOG-2026-025,2026-05-26,PT Logitech Indonesia,6750000,0,-,COCOK,MATCH_LANGSUNG,0.97,Nominal dan nama vendor cocok sempurna. Referensi nomor invoice di keterangan transfer sesuai.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-021a,Mei 2026,2026-06-01,TRX-2026-0021,2026-05-28,PT Kingston Technology Indonesia,Mandiri,22400000,INV-KST-2026-027,2026-05-27,PT Kingston Technology Indonesia,13200000,9200000,Split: sisa Rp9.200.000 dialokasikan ke INV-KST-2026-028,COCOK,SPLIT_PAYMENT,0.92,Pembayaran Rp22.400.000 menutup dua invoice Kingston: INV-KST-2026-027 (Rp13.200.000) + INV-KST-2026-028 (Rp9.200.000). Total Rp22.400.000 = Rp13.200.000 + Rp9.200.000. Keterangan transfer menyebut kedua nomor invoice.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-021b,Mei 2026,2026-06-01,TRX-2026-0021,2026-05-28,PT Kingston Technology Indonesia,Mandiri,22400000,INV-KST-2026-028,2026-05-27,PT Kingston Technology Indonesia,9200000,13200000,Split: sisa Rp13.200.000 dialokasikan ke INV-KST-2026-027,COCOK,SPLIT_PAYMENT,0.92,Baris kedua dari split payment TRX-2026-0021. Invoice INV-KST-2026-028 Rp9.200.000 dilunasi bersama INV-KST-2026-027. Lihat REK-2026-MAY-021a untuk detail.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-022,Mei 2026,2026-06-01,-,-,-,-,0,INV-ACR-2026-026,2026-05-25,PT Acer Indonesia,14500000,-14500000,Belum ada pembayaran masuk,BELUM_DIBAYAR,BELUM_ADA_PEMBAYARAN,0.0,Invoice INV-ACR-2026-026 (Chromebook 5 unit) senilai Rp14.500.000 belum memiliki pembayaran. Jatuh tempo 2026-06-08. Tindak lanjut: kirim reminder ke PT Acer Indonesia pada 2026-06-05.,Dewi Rahmawati,PENDING,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-023,Mei 2026,2026-06-01,-,-,-,-,0,INV-MS-2026-022,2026-05-21,PT Microsoft Indonesia,45000000,-45000000,Belum ada pembayaran masuk,BELUM_DIBAYAR,BELUM_ADA_PEMBAYARAN,0.0,"Invoice INV-MS-2026-022 (Azure Cloud License Annual) senilai Rp45.000.000 belum dibayar. Jatuh tempo 2026-06-04 — sudah lewat saat rekonsiliasi ini dibuat. PRIORITAS TINGGI: eskalasi ke Manajer Keuangan, hubungi Microsoft untuk opsi grace period.",Dewi Rahmawati,ESKALASI_KE_MANAJEMEN,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-024,Mei 2026,2026-06-01,-,-,-,-,0,INV-HIK-2026-029,2026-05-27,PT Hikvision Indonesia,11600000,-11600000,Belum ada pembayaran masuk,BELUM_DIBAYAR,BELUM_ADA_PEMBAYARAN,0.0,Invoice INV-HIK-2026-029 (CCTV 8 Channel) senilai Rp11.600.000 belum dibayar. Jatuh tempo 2026-06-10.,Dewi Rahmawati,PENDING,Budi Santoso (Manajer Keuangan),-
REK-2026-MAY-025,Mei 2026,2026-06-01,-,-,-,-,0,INV-CSC-2026-030,2026-05-28,PT Cisco Systems Indonesia,67500000,-67500000,Belum ada pembayaran masuk,BELUM_DIBAYAR,BELUM_ADA_PEMBAYARAN,0.0,Invoice INV-CSC-2026-030 (Cisco Switch Catalyst 2 unit) senilai Rp67.500.000 belum dibayar. Jatuh tempo 2026-06-11. Nilai terbesar dalam daftar outstanding. Monitor pembayaran.,Dewi Rahmawati,PENDING,Budi Santoso (Manajer Keuangan),-
